t,Ax,Ay,Az,aT
4.544174,-2.1874,-2.5417,-0.2692,3.36
4.553955,-2.3439,-2.5664,-0.0791,3.48
4.563275,-2.4274,-2.5561,0.161,3.53
4.57059,-2.4504,-2.5494,0.398,3.56
4.584926,-2.3865,-2.5799,0.8404,3.61
4.592288,-2.1515,-2.6176,0.9711,3.52
4.600585,-1.9215,-2.6036,1.0377,3.4
4.608173,-1.7445,-2.5773,1.1139,3.31
4.623742,-1.5463,-2.5371,1.1206,3.18
4.632058,-1.4757,-2.6791,0.971,3.21
4.640312,-1.4673,-2.8594,0.7258,3.29
4.648019,-1.599,-2.9894,0.5107,3.43
4.664045,-1.7546,-2.7963,0.4526,3.33
4.6732,-1.7051,-2.6146,0.5248,3.17
4.679781,-1.5582,-2.4105,0.613,2.93
4.687873,-1.3884,-2.2336,0.6451,2.71
4.704165,-0.7506,-1.8216,0.5598,2.05
4.712149,-0.4702,-1.6681,0.4282,1.79
4.720784,-0.3039,-1.5841,0.3274,1.65
4.729208,-0.1178,-1.4952,0.1876,1.51
4.744061,-0.3369,-1.4624,-0.0214,1.5
4.753757,-0.8269,-1.5003,0.0055,1.71
4.762974,-1.0464,-1.4717,0.1092,1.81
4.771519,-1.1116,-1.3291,0.2067,1.74
4.779772,-1.0777,-1.1316,0.302,1.59
4.7922,-0.6015,-0.5418,0.4193,0.91
4.799835,-0.2612,-0.2152,0.4063,0.53
4.808295,0.2662,0.0899,0.1864,0.34
4.823396,1.1444,0.585,-0.5942,1.42
4.831821,1.7072,0.8455,-1.0111,2.16
4.840373,2.1344,1.0571,-1.3619,2.74
4.848155,2.2036,1.1986,-1.5885,2.97
4.863792,2.0573,1.4772,-1.7238,3.06
4.872144,1.7315,1.5985,-1.6278,2.86
4.880493,1.2704,1.7096,-1.4256,2.56
4.887959,0.9799,1.7699,-1.3408,2.43
4.899019,0.9234,1.6945,-1.4003,2.38
4.912193,1.6937,1.2639,-1.8284,2.79
4.920907,2.8126,0.9579,-2.2565,3.73
4.928648,4.3668,0.4817,-2.7667,5.19
4.937811,6.0659,0.1262,-3.3348,6.92
4.948558,7.6711,-0.1378,-4.0185,8.66
4.960284,9.2432,-0.0206,-5.0548,10.54
4.974848,8.9623,0.0931,-5.282,10.4
4.987178,7.4293,0.5464,-4.9035,8.92
4.991863,7.2724,0.6827,-4.7224,8.7
5.00042,7.574,0.6433,-4.5859,8.88
5.007964,7.9524,0.4726,-4.3658,9.08
5.024522,7.7023,0.348,-4.035,8.7
5.032045,7.3133,0.3844,-4.0009,8.34
5.040216,6.7529,0.5216,-4.0055,7.87
5.04798,5.5822,0.9694,-3.892,6.87
5.063936,2.3866,2.5105,-3.0092,4.59
5.073101,0.3513,3.4254,-2.2399,4.11
5.079995,-1.516,4.1046,-1.5164,4.63
5.088368,-3.4265,4.8697,-0.6785,5.99
5.104025,-6.1851,6.6663,0.9404,9.14
5.112085,-7.2932,7.5462,1.5214,10.6
5.120552,-8.4269,8.5009,1.9546,12.13
5.129042,-9.1236,9.3488,2.2728,13.26
5.143531,-9.2265,11.2154,2.6503,14.76
5.15721,-8.0171,12.0474,2.6318,14.71
5.163157,-6.8893,12.7463,2.6591,14.73
5.170385,-5.9962,13.2802,2.6452,14.81
5.178347,-5.3064,13.6798,2.5791,14.9
5.1881,-5.069,13.767,2.6507,14.91
5.199697,-5.0334,13.2507,2.7942,14.45
5.208207,-5.1765,12.9389,2.9423,14.24
5.224247,-5.5523,12.171,3.4219,13.81
5.232219,-5.4203,11.6873,3.7135,13.41
5.239993,-5.0439,11.1107,3.8568,12.8
5.248024,-4.4895,10.5781,3.7867,12.1
5.263771,-1.5434,10.3241,3.0517,10.88
5.272835,0.3943,10.3156,2.5985,10.65
5.280152,3.1764,10.1013,1.8848,10.76
5.28804,6.0416,9.6968,1.06,11.47
5.305204,10.8192,7.9281,-1.6751,13.52
5.313847,12.5292,6.8162,-3.0253,14.58
5.320467,13.9492,6.0076,-3.6818,15.63
5.328269,15.779,5.23,-4.1507,17.13
5.343415,18.9987,4.4346,-4.7201,20.07
5.353675,20.2586,4.0152,-4.8517,21.21
5.362582,21.5563,3.533,-4.7424,22.35
5.370672,23.2094,2.6706,-4.8196,23.85
5.383748,24.6767,-0.1897,-5.5274,25.29
5.39169,24.6409,-1.6057,-5.6878,25.34
5.400823,24.232,-3.0616,-5.4828,25.03
5.416271,22.8255,-6.135,-4.266,24.02
5.423906,21.8592,-7.6398,-3.6648,23.44
5.432436,20.6148,-9.1043,-2.8466,22.71
5.440588,19.2066,-10.147,-1.9696,21.81
5.447766,17.8727,-10.8676,-1.2746,20.96
5.4642,14.7805,-11.9342,-0.1386,19
5.472017,12.906,-12.3413,0.249,17.86
5.480436,11.0778,-12.6885,0.5124,16.85
5.488007,9.0342,-12.8937,0.7899,15.76
5.504815,5.697,-13.0612,1.0988,14.29
5.515273,4.3877,-13.2049,1.0862,13.96
5.521303,3.0347,-13.3219,1.0762,13.71
